corps,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,total
G,0,2,2,1,0,0,1,1,0,3,0,2,1,0,0,1,0,1,0,1,16
I,0,0,0,2,0,3,0,2,0,0,0,1,1,1,0,2,0,3,1,0,16
II,0,0,0,2,0,2,0,0,1,1,0,0,2,1,1,0,0,2,0,0,12
III,0,0,0,1,1,1,2,0,2,0,0,0,1,0,1,2,1,0,0,0,12
IV,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,8
V,0,0,0,0,2,1,0,0,1,0,0,1,0,1,1,1,1,1,1,0,11
VI,0,0,1,0,2,0,0,1,2,0,1,1,3,1,1,1,0,3,0,0,17
VII,1,0,1,0,0,0,1,0,1,1,0,0,2,0,0,2,1,0,2,0,12
VIII,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,7
IX,0,0,0,0,0,2,1,1,1,0,2,1,1,0,1,2,0,1,0,0,13
X,0,0,1,1,0,1,0,2,0,2,0,0,0,0,2,1,3,0,1,1,15
XI,0,0,0,0,2,4,0,1,3,0,1,1,1,1,2,1,3,1,3,1,25
XIV,1,1,2,1,1,3,0,4,0,1,0,3,2,1,0,2,1,1,0,0,24
XV,0,1,0,0,0,0,0,1,0,1,1,0,0,0,2,2,0,0,0,0,8
total,3,5,7,9,10,18,6,14,11,9,5,11,15,6,11,17,12,15,8,4,196
